"BehaviorSpace results (NetLogo 6.2.0)"
"TECSecurityUI-V2021-05-28.nlogo"
"nu_of_neighborhoods_4_6_8"
"06/06/2021 23:04:33:614 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","co2-tax-increase-rate","information-exchange-period","Insulation-Inputting","rewire-prob","no-of-neighborhoods","number-of-links","neighborhood-size","Value-Inputting","climate-change-scenario","gas-price-increase-scenario","annual-subsidy-budget","percentage-loss-per-svo","[step]","mean community-formation-time-list","mean energy-diversity","insulation-improvement","total-costs-per-household","direct-net-benefits-per-household","indirect-net-benefits-per-household","total-co2-per-household"
"109","0.002","7","false","0.02","8","2","700","false","high temperature rise","0.01","4","15","239","37","0.3025","0.55375","59.062825441577274","27.833290171193724","0.12001655349697843","130.0354871964296"
"110","0.002","7","false","0.02","8","2","700","false","high temperature rise","0.01","4","15","239","37","0.3449999999999999","0.5449999999999999","58.37491773807591","28.61675788300807","0.10936622712552975","130.38814105768785"
"112","0.002","7","false","0.02","8","2","700","false","high temperature rise","0.01","4","15","239","37","0.29000000000000004","0.5605357142857144","59.05558211880826","27.50004397868288","0.1043426377878916","129.83144062221828"
"111","0.002","7","false","0.02","8","2","700","false","high temperature rise","0.01","4","15","239","37","0.3375","0.5407142857142859","59.69723901042407","27.298776397755134","0.1128191238222442","130.32502895708694"
"113","0.002","7","false","0.02","8","2","700","false","high temperature rise","0.01","4","15","239","37","0.33749999999999997","0.547857142857143","59.20023938188381","27.497053470559486","0.1280660076225658","129.5674205469531"
"114","0.002","7","false","0.02","8","2","700","false","high temperature rise","0.01","4","15","239","41.5","0.33249999999999996","0.5426785714285711","58.566232495289576","28.15023971629507","0.09925451427242678","130.18117465750805"
"115","0.002","7","false","0.02","8","2","700","false","high temperature rise","0.01","4","15","239","37","0.3125","0.5533928571428572","59.36966739457432","27.727002221208082","0.11666798361011388","130.41267733176537"
"116","0.002","7","false","0.02","8","2","700","false","high temperature rise","0.01","4","15","239","65.5","0.365","0.5314285714285711","64.80978891801364","24.06004772917757","0.07971418071908545","133.8570408027816"
"117","0.002","7","false","0.02","8","2","700","false","high temperature rise","0.01","4","15","239","37","0.3425","0.5460714285714285","60.24119596475766","26.95523960980808","0.0989390257869573","130.91287290688038"
"118","0.002","7","false","0.02","8","2","700","false","high temperature rise","0.01","4","15","239","50.5","0.3475","0.5491071428571428","61.88575770980126","25.782552325229243","0.09435555088834349","131.7605016062408"
"123","0.002","7","false","0.02","8","2","700","false","high temperature rise","0.01","4","15","239","37","0.325","0.5407142857142859","59.55833116671039","27.251570307015356","0.1030497549146901","130.23831441311484"
"119","0.002","7","false","0.02","8","2","700","false","high temperature rise","0.01","4","15","239","37","0.3325","0.5464285714285713","58.1552220645815","28.760984204396323","0.10870837141123389","130.28775062733104"
"121","0.002","7","false","0.02","8","2","700","false","high temperature rise","0.01","4","15","239","38.5","0.30874999999999997","0.5560714285714288","57.84403886199953","28.703757402708884","0.10787728729354172","129.75685942525988"
"120","0.002","7","false","0.02","8","2","700","false","high temperature rise","0.01","4","15","239","37","0.35000000000000003","0.5430357142857143","60.47458517797266","27.179077472404337","0.09868754556993764","131.6050700707447"
"122","0.002","7","false","0.02","8","2","700","false","high temperature rise","0.01","4","15","239","41.5","0.33499999999999996","0.5437499999999997","58.10382202966857","28.634298265729853","0.12046242154790719","129.79659867965702"
"124","0.002","7","false","0.02","8","2","700","false","high temperature rise","0.01","4","15","239","59.5","0.355","0.5417857142857141","63.681981802931936","24.83779550253028","0.08595586818037049","133.21562722964597"
"125","0.002","7","false","0.02","8","2","700","false","high temperature rise","0.01","4","15","239","37","0.29625","0.5667857142857144","58.86836956037597","27.55485578349029","0.10962145457481826","129.53103247844444"
"126","0.002","7","false","0.02","8","2","700","false","high temperature rise","0.01","4","15","239","49","0.30625","0.5485714285714285","59.45765607436985","27.76055678327104","0.08159782877861801","131.30997354595593"
"127","0.002","7","false","0.02","8","2","700","false","high temperature rise","0.01","4","15","239","71.5","0.38750000000000007","0.5299999999999998","65.50213843538404","23.837886000893622","0.09296576106690112","134.32354189671744"
